epoch,acc,iou,loss,lr,precision_1,recall_1,val_acc,val_iou,val_loss,val_precision_1,val_recall_1
0,0.42155978083610535,0.017097126692533493,0.8429635763168335,1e-04,0.023611918091773987,0.9048696756362915,0.6649436950683594,0.010808181017637253,0.6855000257492065,0.02640998177230358,0.7257213592529297
1,0.872137188911438,0.020118599757552147,0.47701242566108704,1e-04,0.06563686579465866,0.5454520583152771,0.9433441162109375,0.011219063773751259,0.6270856261253357,0.054165370762348175,0.21625813841819763
2,0.9802873134613037,0.024349270388484,0.2821767330169678,1e-04,0.37855881452560425,0.35093793272972107,0.9876022338867188,0.011711868457496166,0.5670362710952759,0.11764705926179886,0.0012410797644406557
3,0.9857215285301208,0.030390258878469467,0.2094719558954239,1e-04,0.6003521084785461,0.34401243925094604,0.9877052307128906,0.011985044926404953,0.5327157974243164,0.0,0.0
4,0.987288773059845,0.03896079957485199,0.17817318439483643,1e-04,0.6755488514900208,0.4161304533481598,0.9877052307128906,0.012443792074918747,0.4834866523742676,0.0,0.0
5,0.9891754388809204,0.05010524019598961,0.15935340523719788,1e-04,0.7403286695480347,0.5588395595550537,0.9877052307128906,0.012705497443675995,0.445122629404068,0.0,0.0
6,0.9912523031234741,0.06167967617511749,0.14720290899276733,1e-04,0.8014463782310486,0.7040298581123352,0.9877052307128906,0.012891393154859543,0.4040559232234955,0.0,0.0
7,0.9921858310699463,0.07074882090091705,0.1368311196565628,1e-04,0.8368432521820068,0.7465099692344666,0.9877052307128906,0.01280166581273079,0.3659009039402008,0.0,0.0
8,0.9927213191986084,0.0751979723572731,0.12938767671585083,1e-04,0.8636178374290466,0.7517449855804443,0.9877052307128906,0.012971287593245506,0.32922863960266113,0.0,0.0
9,0.9923375844955444,0.07923619449138641,0.12440209835767746,1e-04,0.8443925380706787,0.7491002082824707,0.9877052307128906,0.012360204011201859,0.2869269549846649,0.0,0.0
10,0.9930382370948792,0.08492369204759598,0.1187741756439209,1e-04,0.8770021796226501,0.7673410177230835,0.9877052307128906,0.01173534244298935,0.2577606439590454,0.0,0.0
11,0.993496835231781,0.09208278357982635,0.11313367635011673,1e-04,0.8881756663322449,0.8073399662971497,0.9877052307128906,0.011103968136012554,0.22622299194335938,0.0,0.0
12,0.9939566850662231,0.0970303863286972,0.10855136811733246,1e-04,0.9067555069923401,0.8161195516586304,0.9876594543457031,0.013164632953703403,0.21112880110740662,0.0,0.0
13,0.9941707253456116,0.10030576586723328,0.10522133111953735,1e-04,0.9159556031227112,0.8195550441741943,0.9882888793945312,0.01602769084274769,0.19075623154640198,0.9757575988769531,0.049953460693359375
14,0.9941080212593079,0.10409443080425262,0.10372777283191681,1e-04,0.9065641760826111,0.8359690308570862,0.9880142211914062,0.015755992382764816,0.18254554271697998,0.8952381014823914,0.029165374115109444
15,0.993996798992157,0.10339708626270294,0.0999961793422699,1e-04,0.9149313569068909,0.8014505505561829,0.9661369323730469,0.027257882058620453,0.2133314609527588,0.16900011897087097,0.42320817708969116
16,0.9942806959152222,0.1102689579129219,0.09544123709201813,1e-04,0.9260544776916504,0.8147289752960205,0.9880867004394531,0.02158503048121929,0.16451619565486908,0.5872235894203186,0.14830902218818665
17,0.9944972395896912,0.11470478773117065,0.09184692800045013,1e-04,0.9305073022842407,0.8247355222702026,0.9888114929199219,0.019178198650479317,0.14327386021614075,0.9903537034988403,0.095563143491745
18,0.994637668132782,0.1208207979798317,0.08855387568473816,1e-04,0.9311255216598511,0.8463300466537476,0.9883575439453125,0.016148129478096962,0.13018769025802612,1.0,0.05305615812540054
19,0.9948140978813171,0.12455406785011292,0.08556973934173584,1e-04,0.9394431710243225,0.8518922328948975,0.9897079467773438,0.02691640332341194,0.12104704231023788,0.9154929518699646,0.20167545974254608
20,0.994681179523468,0.1276768445968628,0.08322645723819733,1e-04,0.9361096620559692,0.8433308005332947,0.9896774291992188,0.028510719537734985,0.11618965864181519,0.8883048892021179,0.209742471575737
21,0.9948011636734009,0.12866011261940002,0.0806901678442955,1e-04,0.9509084224700928,0.8191460371017456,0.990020751953125,0.05043508857488632,0.11560286581516266,0.7002967596054077,0.4393422305583954
22,0.9948458671569824,0.13235844671726227,0.07850506901741028,1e-04,0.9487643837928772,0.8280346989631653,0.9884834289550781,0.061127785593271255,0.11924168467521667,0.5861859917640686,0.600372314453125
23,0.9948341846466064,0.13670627772808075,0.0766478106379509,1e-04,0.9433189630508423,0.841749370098114,0.98992919921875,0.04848325997591019,0.10144831240177155,0.7425938248634338,0.3499844968318939
24,0.9949432611465454,0.13917629420757294,0.07454606890678406,1e-04,0.9504461884498596,0.8451030850410461,0.9905738830566406,0.060918230563402176,0.09531429409980774,0.7465718388557434,0.4560967981815338
25,0.9948487877845764,0.1426689475774765,0.07283071428537369,1e-04,0.9462487101554871,0.8428672552108765,0.9910354614257812,0.06246405839920044,0.0901973694562912,0.805269181728363,0.4362395405769348
26,0.9950080513954163,0.14566440880298615,0.07089022547006607,1e-04,0.9515475034713745,0.8449667096138,0.9916610717773438,0.06746770441532135,0.08607760071754456,0.8454293608665466,0.47347190976142883
27,0.9951907396316528,0.15016479790210724,0.06866636127233505,1e-04,0.9573120474815369,0.8529828786849976,0.9920158386230469,0.07569307833909988,0.08299855142831802,0.8409090638160706,0.5280794501304626
28,0.9951958060264587,0.15468810498714447,0.0667802095413208,1e-04,0.9561049342155457,0.8593630790710449,0.9925155639648438,0.08652351796627045,0.07960030436515808,0.8384518027305603,0.6183679699897766
29,0.9952739477157593,0.15744931995868683,0.06516271829605103,1e-04,0.9616104960441589,0.8537190556526184,0.9920730590820312,0.10189168155193329,0.07924430072307587,0.7654722929000854,0.7291343212127686
30,0.9953750967979431,0.1603911817073822,0.06342572718858719,1e-04,0.9692699909210205,0.8496837019920349,0.9935760498046875,0.10711600631475449,0.07290578633546829,0.85130375623703,0.7496121525764465
31,0.9953818321228027,0.16352033615112305,0.061880093067884445,1e-04,0.9686852097511292,0.85355544090271,0.9938316345214844,0.10918743163347244,0.06959427893161774,0.8795675039291382,0.7319267988204956
32,0.995333731174469,0.16889071464538574,0.06047020107507706,1e-04,0.9611673951148987,0.8665339946746826,0.9940872192382812,0.11541862785816193,0.06593303382396698,0.8920222520828247,0.7458889484405518
33,0.9954934120178223,0.17158271372318268,0.05886046588420868,1e-04,0.9698696136474609,0.8680063486099243,0.994873046875,0.1196092739701271,0.06167323887348175,0.9597887992858887,0.733167827129364
34,0.9956067204475403,0.17612658441066742,0.057296231389045715,1e-04,0.9758752584457397,0.8702148795127869,0.9951667785644531,0.12008140981197357,0.060656316578388214,0.9796868562698364,0.7182748913764954
35,0.9955160021781921,0.17781977355480194,0.05625833198428154,1e-04,0.9715076684951782,0.8608899712562561,0.9951629638671875,0.12382608652114868,0.05870857834815979,0.9766471982002258,0.726652204990387
36,0.9955026507377625,0.1826821118593216,0.055018432438373566,1e-04,0.968682587146759,0.8695059418678284,0.9947395324707031,0.1312391608953476,0.057534605264663696,0.9277694821357727,0.769159197807312
37,0.995464563369751,0.1828901767730713,0.05407172068953514,1e-04,0.9730039834976196,0.8549732565879822,0.9944267272949219,0.1421118527650833,0.05754254758358002,0.8760409951210022,0.8485882878303528
38,0.9954808950424194,0.18632325530052185,0.053078942000865936,1e-04,0.9702432155609131,0.857018232345581,0.9950637817382812,0.14597472548484802,0.055262885987758636,0.9151873588562012,0.8637915253639221
39,0.9954487085342407,0.19002112746238708,0.05198568478226662,1e-04,0.9684048891067505,0.8607808947563171,0.9950637817382812,0.13861796259880066,0.05357424542307854,0.9577795267105103,0.7601613402366638
40,0.9955101609230042,0.1953827291727066,0.050765976309776306,1e-04,0.9670541286468506,0.8755589723587036,0.9952392578125,0.14276757836341858,0.05016313120722771,0.9815203547477722,0.7251008152961731
41,0.995563268661499,0.19908051192760468,0.0494844950735569,1e-04,0.9694727659225464,0.8754225969314575,0.9955291748046875,0.14587277173995972,0.04928601533174515,0.9900949001312256,0.7443375587463379
42,0.9955887198448181,0.20149989426136017,0.04850122332572937,1e-04,0.9750989079475403,0.8669702410697937,0.9955863952636719,0.14564114809036255,0.04897647351026535,0.9928330779075623,0.7306857109069824
43,0.9956602454185486,0.20483598113059998,0.04743566736578941,1e-04,0.978049099445343,0.8649798035621643,0.9957542419433594,0.16155685484409332,0.047630101442337036,0.9633286595344543,0.8476574420928955
44,0.9954649806022644,0.2068944275379181,0.04714275896549225,1e-04,0.9701345562934875,0.8608899712562561,0.9950981140136719,0.16045714914798737,0.04850585386157036,0.9220647811889648,0.8479677438735962
45,0.9955795407295227,0.20858022570610046,0.045793771743774414,1e-04,0.9786510467529297,0.8549187183380127,0.9953269958496094,0.17514659464359283,0.04594685137271881,0.9198113083839417,0.9075395464897156
46,0.9955423474311829,0.21387390792369843,0.04483569785952568,1e-04,0.9721155762672424,0.8630985021591187,0.9956321716308594,0.1680438071489334,0.04521360993385315,0.9534883499145508,0.8523114919662476
47,0.9955172538757324,0.2172723263502121,0.04382120445370674,1e-04,0.971133291721344,0.865906834602356,0.9955520629882812,0.17077451944351196,0.042819567024707794,0.9672253131866455,0.805770993232727
48,0.9956660866737366,0.2237684577703476,0.04256829991936684,1e-04,0.9745739698410034,0.8810120820999146,0.9955787658691406,0.1702980250120163,0.042305417358875275,0.9742802381515503,0.7874650955200195
49,0.9957538843154907,0.22741393744945526,0.04152840003371239,1e-04,0.9791311621665955,0.8775765895843506,0.9954566955566406,0.17404785752296448,0.04196762293577194,0.9671945571899414,0.7958424091339111
